"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"2002 week 15";"2874";"557";"972";"1345"
"2002 week 16";"2778";"507";"900";"1371"
"2002 week 17";"2780";"504";"931";"1345"
"2002 week 18";"2638";"511";"862";"1265"
"2002 week 19";"2590";"493";"841";"1256"
"2002 week 20";"2620";"494";"897";"1229"
"2002 week 21";"2555";"481";"866";"1208"
"2002 week 22";"2641";"492";"879";"1270"
"2002 week 23";"2658";"505";"849";"1304"
"2002 week 24";"2525";"469";"883";"1173"
"2002 week 25";"2665";"527";"871";"1267"
"2002 week 26";"2556";"551";"824";"1181"
"2002 week 27";"2568";"498";"873";"1197"
"2002 week 28";"2548";"504";"867";"1177"
"2002 week 29";"2500";"510";"797";"1193"
"2002 week 30";"2612";"513";"855";"1244"
"2002 week 31";"2792";"494";"879";"1419"
"2002 week 32";"2461";"474";"807";"1180"
"2002 week 33";"2497";"530";"762";"1205"
"2002 week 34";"2624";"486";"882";"1256"
"2002 week 35";"2362";"504";"761";"1097"
"2002 week 36";"2469";"495";"832";"1142"
"2002 week 37";"2456";"517";"824";"1115"
"2002 week 38";"2372";"487";"800";"1085"
"2002 week 39";"2434";"487";"839";"1108"
"2002 week 40";"2557";"544";"840";"1173"
"2002 week 41";"2518";"498";"867";"1153"
"2002 week 42";"2606";"490";"878";"1238"
"2002 week 43";"2712";"555";"900";"1257"
"2002 week 44";"2681";"532";"914";"1235"
"2002 week 45";"2666";"537";"883";"1246"
"2002 week 46";"2637";"535";"897";"1205"
"2002 week 47";"2720";"551";"915";"1254"
"2002 week 48";"2696";"552";"888";"1256"
"2002 week 49";"2676";"492";"935";"1249"
"2002 week 50";"3011";"575";"990";"1446"
"2002 week 51";"3023";"550";"984";"1489"
"2002 week 52";"3127";"545";"1051";"1531"
"2002 week 53 (2 dagen)";"870";"158";"287";"425"
"2002";"142355";"26900";"46800";"68655"
"2003 week 1 (5 dagen)";"2141";"382";"638";"1121"
"2003 week 2";"2987";"531";"928";"1528"
"2003 week 3";"2981";"508";"875";"1598"
"2003 week 4";"2963";"532";"905";"1526"
"2003 week 5";"2821";"477";"902";"1442"
"2003 week 6";"2745";"470";"924";"1351"
"2003 week 7";"2736";"477";"951";"1308"
"2003 week 8";"2923";"510";"933";"1480"
"2003 week 9";"3021";"539";"945";"1537"
"2003 week 10";"2991";"509";"970";"1512"
"2003 week 11";"2983";"549";"935";"1499"
"2003 week 12";"2898";"506";"878";"1514"
"2003 week 13";"2914";"531";"935";"1448"
"2003 week 14";"2948";"552";"940";"1456"
"2003 week 15";"2730";"485";"894";"1351"
"2003 week 16";"2924";"549";"882";"1493"
"2003 week 17";"2844";"560";"886";"1398"
"2003 week 18";"2577";"493";"795";"1289"
"2003 week 19";"2554";"496";"789";"1269"
"2003 week 20";"2560";"462";"801";"1297"
"2003 week 21";"2590";"500";"854";"1236"
"2003 week 22";"2610";"496";"811";"1303"
"2003 week 23";"2853";"551";"881";"1421"
"2003 week 24";"2487";"461";"799";"1227"
"2003 week 25";"2464";"499";"813";"1152"
"2003 week 26";"2541";"551";"767";"1223"
"2003 week 27";"2392";"470";"799";"1123"
"2003 week 28";"2436";"494";"785";"1157"
"2003 week 29";"2721";"509";"902";"1310"
"2003 week 30";"2553";"485";"813";"1255"
"2003 week 31";"2556";"496";"844";"1216"
"2003 week 32";"2773";"518";"859";"1396"
"2003 week 33";"2866";"537";"917";"1412"
"2003 week 34";"2496";"483";"788";"1225"
"2003 week 35";"2398";"494";"790";"1114"
"2003 week 36";"2487";"507";"831";"1149"
"2003 week 37";"2457";"530";"801";"1126"
"2003 week 38";"2661";"551";"850";"1260"
"2003 week 39";"2631";"535";"890";"1206"
"2003 week 40";"2531";"542";"787";"1202"
"2003 week 41";"2484";"518";"812";"1154"
"2003 week 42";"2586";"508";"867";"1211"
"2003 week 43";"2599";"525";"844";"1230"
"2003 week 44";"2743";"506";"863";"1374"
"2003 week 45";"2636";"484";"891";"1261"
"2003 week 46";"2581";"503";"871";"1207"
"2003 week 47";"2639";"520";"868";"1251"
"2003 week 48";"2643";"506";"835";"1302"
"2003 week 49";"2636";"524";"877";"1235"
"2003 week 50";"2898";"580";"950";"1368"
"2003 week 51";"3112";"561";"1016";"1535"
"2003 week 52";"3201";"535";"1024";"1642"
"2003 week 53 (3 dagen)";"1434";"266";"458";"710"
"2003";"141936";"26863";"45463";"69610"
"2004 week 1 (4 dagen)";"1899";"276";"596";"1027"
"2004 week 2";"3333";"508";"1007";"1818"
"2004 week 3";"3055";"508";"918";"1629"
"2004 week 4";"2921";"548";"869";"1504"
"2004 week 5";"2907";"496";"916";"1495"
"2004 week 6";"2751";"541";"786";"1424"
"2004 week 7";"2692";"492";"794";"1406"
"2004 week 8";"2746";"521";"849";"1376"
"2004 week 9";"2722";"473";"889";"1360"
"2004 week 10";"2720";"489";"867";"1364"
